"","Coefficient","zip"
"329",0.25138,1542
"330",0.25138,1543
"331",0.25138,1545
"332",0.25138,1550
"333",0.25138,1560
"334",0.25138,1561
"335",0.25138,1562
"336",0.25138,1564
"337",0.25138,1566
"338",0.38808,1568
"339",0.38808,1569
"340",0.25138,1570
"341",0.25138,1571
"342",0.25138,1581
"343",0.25138,1583
"344",0.25138,1585
"345",0.38808,1588
"346",0.25138,1590
"347",0.25138,1602
"348",0.25138,1603
"349",0.25138,1604
"350",0.25138,1605
"351",0.25138,1606
"352",0.25138,1607
"353",0.25138,1608
"354",0.25138,1609
"355",0.25138,1610
"356",0.25138,1611
"357",0.25138,1612
"358",0.38808,1701
"359",0.38808,1702
"360",0.20808,1718
"361",0.25138,1719
"362",0.20808,1720
"363",0.38808,1721
"364",0.20808,1730
"365",0.20808,1731
"366",0.25138,1740
"367",0.20808,1741
"368",0.20808,1742
"369",0.38808,1745
"370",0.38808,1746
"371",0.38808,1747
"372",0.38808,1748
"373",0.25138,1749
"374",0.25138,1752
"375",0.20808,1754
"376",0.38808,1756
"377",0.38808,1757
"378",0.38808,1760
"379",0.38808,1770
"380",0.38808,1772
"381",0.20808,1773
"382",0.25138,1775
"383",0.20808,1776
"384",0.20808,1778
"385",0.20808,1801
"386",0.20808,1803
"387",0.20808,1810
"388",0.20808,1821
"389",0.20808,1824
"390",0.20808,1826
"391",0.20808,1827
"392",0.20808,1830
"393",0.20808,1832
"394",0.20808,1833
"395",0.20808,1834
"396",0.20808,1835
"397",0.20808,1840
"398",0.20808,1841
"399",0.20808,1843
"400",0.20808,1844
"401",0.20808,1845
"402",0.20808,1850
"403",0.20808,1851
"404",0.20808,1852
"405",0.20808,1854
"406",0.20808,1860
"407",0.20808,1862
"408",0.20808,1863
"409",0.20808,1864
"410",0.20808,1867
"411",0.20808,1876
"412",0.20808,1879
"413",0.20808,1880
"414",0.20808,1886
"415",0.20808,1887
"416",0.20808,1890
"417",0.20808,1901
"418",0.20808,1902
"419",0.20808,1904
"420",0.20808,1905
"421",0.20808,1906
"422",0.20808,1907
"423",0.20808,1908
"424",0.20808,1913
"425",0.20808,1915
"426",0.20808,1921
"427",0.20808,1922
"428",0.20808,1923
"429",0.20808,1929
"430",0.20808,1930
"431",0.20808,1937
"432",0.20808,1938
"433",0.20808,1940
"434",0.20808,1944
"435",0.20808,1945
"436",0.20808,1949
"437",0.20808,1950
"438",0.20808,1951
"439",0.20808,1952
"440",0.20808,1960
"441",0.20808,1966
"442",0.20808,1969
"443",0.20808,1970
"444",0.20808,1982
"445",0.20808,1983
"446",0.20808,1984
"447",0.20808,1985
"448",0.38808,2019
"449",0.20808,2021
"450",0.20808,2025
"451",0.20808,2026
"452",0.38808,2030
"453",0.38808,2032
"454",0.38808,2035
"455",0.38808,2038
"456",0.20808,2043
"457",0.20808,2045
"458",0.32168,2047
"459",0.38808,2048
"460",0.32168,2050
"461",0.38808,2052
"462",0.38808,2053
"463",0.38808,2054
"464",0.38808,2056
"465",0.32168,2061
"466",0.38808,2062
"467",0.32168,2066
"468",0.38808,2067
"469",0.38808,2071
"470",0.38808,2072
"471",0.38808,2081
"472",0.38808,2090
"473",0.38808,2093
"474",0.20808,2108
"475",0.20808,2109
"476",0.20808,2110
"477",0.20808,2111
"478",0.20808,2113
"479",0.20808,2114
"480",0.20808,2115
"481",0.20808,2116
"482",0.20808,2118
"483",0.20808,2119
"484",0.20808,2120
"485",0.20808,2121
"486",0.20808,2122
"487",0.20808,2124
"488",0.20808,2125
"489",0.20808,2126
"490",0.20808,2127
"491",0.20808,2128
"492",0.20808,2129
"493",0.20808,2130
"494",0.20808,2131
"495",0.20808,2132
"496",0.20808,2134
"497",0.20808,2135
"498",0.20808,2136
"499",0.20808,2138
"500",0.20808,2139
"501",0.20808,2140
"502",0.20808,2141
"503",0.20808,2142
"504",0.20808,2143
"505",0.20808,2144
"506",0.20808,2145
"507",0.20808,2148
"508",0.20808,2149
"509",0.20808,2150
"510",0.20808,2151
"511",0.20808,2152
"512",0.20808,2155
"513",0.20808,2163
"514",0.20808,2169
"515",0.20808,2170
"516",0.20808,2171
"517",0.20808,2176
"518",0.20808,2180
"519",0.20808,2184
"520",0.20808,2186
"521",0.20808,2188
"522",0.20808,2189
"523",0.20808,2190
"524",0.20808,2191
"525",0.20808,2199
"526",0.20808,2203
"527",0.20808,2210
"528",0.20808,2215
"529",0.32168,2301
"530",0.32168,2302
"531",0.20808,2322
"532",0.32168,2324
"533",0.32168,2330
"534",0.32168,2332
"535",0.32168,2333
"536",0.32168,2338
"537",0.32168,2339
"538",0.32168,2341
"539",0.32168,2343
"540",0.32168,2346
"541",0.32168,2347
"542",0.32168,2351
"543",0.38808,2356
"544",0.38808,2357
"545",0.32168,2359
"546",0.32168,2360
"547",0.32168,2364
"548",0.32168,2366
"549",0.32168,2367
"550",0.20808,2368
"551",0.32168,2370
"552",0.32168,2375
"553",0.32168,2379
"554",0.32168,2382
"555",0.20808,2420
"556",0.20808,2421
"557",0.20808,2445
"558",0.20808,2446
"559",0.20808,2451
"560",0.20808,2452
"561",0.20808,2453
"562",0.20808,2457
"563",0.20808,2458
"564",0.20808,2459
"565",0.20808,2460
"566",0.20808,2461
"567",0.20808,2462
"568",0.20808,2464
"569",0.20808,2465
"570",0.20808,2466
"571",0.20808,2467
"572",0.20808,2468
"573",0.20808,2472
"574",0.20808,2474
"575",0.20808,2476
"576",0.20808,2478
"577",0.20808,2481
"578",0.20808,2482
"579",0.20808,2492
"580",0.20808,2493
"581",0.20808,2494
"582",0.32168,2532
"583",0.32168,2534
"584",0.32168,2535
"585",0.32168,2536
"586",0.32168,2537
"587",0.32168,2538
"588",0.32168,2539
"589",0.32168,2540
"590",0.32168,2542
"591",0.32168,2543
"592",0.32168,2553
"593",0.32168,2554
"594",0.32168,2556
"595",0.32168,2557
"596",0.32168,2558
"597",0.32168,2559
"598",0.32168,2561
"599",0.32168,2562
"600",0.32168,2563
"601",0.32168,2564
"602",0.32168,2568
"603",0.32168,2571
"604",0.32168,2575
"605",0.32168,2576
"606",0.32168,2584
"607",0.32168,2601
"608",0.32168,2630
"609",0.32168,2631
"610",0.32168,2632
"611",0.32168,2633
"612",0.32168,2635
"613",0.32168,2637
"614",0.32168,2638
"615",0.32168,2639
"616",0.32168,2641
"617",0.32168,2642
"618",0.32168,2643
"619",0.32168,2644
"620",0.32168,2645
"621",0.32168,2646
"622",0.32168,2647
"623",0.32168,2648
"624",0.32168,2649
"625",0.32168,2650
"626",0.32168,2651
"627",0.32168,2652
"628",0.32168,2653
"629",0.32168,2655
"630",0.32168,2657
"631",0.32168,2659
"632",0.32168,2660
"633",0.32168,2663
"634",0.32168,2664
"635",0.32168,2666
"636",0.32168,2667
"637",0.32168,2668
"638",0.32168,2669
"639",0.32168,2670
"640",0.32168,2671
"641",0.32168,2672
"642",0.32168,2673
"643",0.32168,2675
"644",0.32168,2702
"645",0.38808,2703
"646",0.32168,2713
"647",0.38808,2715
"648",0.32168,2717
"649",0.32168,2718
"650",0.32168,2719
"651",0.32168,2720
"652",0.32168,2721
"653",0.32168,2723
"654",0.38808,2724
"655",0.38808,2725
"656",0.32168,2726
"657",0.32168,2738
"658",0.32168,2739
"659",0.32168,2740
"660",0.32168,2743
"661",0.32168,2744
"662",0.32168,2745
"663",0.32168,2746
"664",0.32168,2747
"665",0.32168,2748
"666",0.38808,2760
"667",0.38808,2762
"668",0.38808,2763
"669",0.38808,2764
"670",0.38808,2766
"671",0.32168,2767
"672",0.38808,2769
"673",0.32168,2770
"674",0.38808,2771
"675",0.38808,2777
"676",0.32168,2779
"677",0.38808,2780
"678",0.32168,2790
"679",0.32168,2791
"680",0.38808,2802
"681",0.10545,2804
"682",0.38808,2806
"683",0.10545,2807
"684",0.10545,2808
"685",0.38808,2809
"686",0.10545,2812
"687",0.10545,2813
"688",0.38808,2814
"689",0.38808,2815
"690",0.38808,2816
"691",0.10545,2817
"692",0.38808,2818
"693",0.10545,2822
"694",0.38808,2825
"695",0.38808,2826
"696",0.10545,2827
"697",0.38808,2828
"698",0.38808,2830
"699",0.38808,2831
"700",0.10545,2832
"701",0.10545,2833
"702",0.38808,2835
"703",0.10545,2836
"704",0.32168,2837
"705",0.38808,2838
"706",0.38808,2839
"707",0.38808,2840
"708",0.38808,2841
"709",0.38808,2842
"710",0.38808,2852
"711",0.38808,2857
"712",0.38808,2858
"713",0.38808,2859
"714",0.38808,2860
"715",0.38808,2861
"716",0.38808,2863
"717",0.38808,2864
"718",0.38808,2865
"719",0.38808,2871
"720",0.38808,2872
"721",0.10545,2873
"722",0.38808,2874
"723",0.10545,2875
"724",0.38808,2876
"725",0.32168,2878
"726",0.10545,2879
"727",0.10545,2881
"728",0.10545,2882
"729",0.38808,2885
"730",0.38808,2886
"731",0.38808,2888
"732",0.38808,2889
"733",0.10545,2891
"734",0.10545,2892
"735",0.38808,2893
"736",0.10545,2894
"737",0.38808,2895
"738",0.38808,2896
"739",0.10545,2898
"740",0.38808,2903
"741",0.38808,2904
"742",0.38808,2905
"743",0.38808,2906
"744",0.38808,2907
"745",0.38808,2908
"746",0.38808,2909
"747",0.38808,2910
"748",0.38808,2911
"749",0.38808,2912
"750",0.38808,2914
"751",0.38808,2915
"752",0.38808,2916
"753",0.38808,2917
"754",0.38808,2919
"755",0.38808,2920
"756",0.38808,2921
"757",0.25138,3031
"758",0.39197,3032
"759",0.25138,3033
"760",0.39197,3034
"761",0.39197,3036
"762",0.39197,3037
"763",0.20808,3038
"764",0.39197,3042
"765",0.25138,3043
"766",0.39197,3044
"767",0.39197,3045
"768",0.39197,3046
"769",0.25138,3047
"770",0.25138,3048
"771",0.25138,3049
"772",0.20808,3051
"773",0.20808,3052
"774",0.20808,3053
"775",0.20808,3054
"776",0.25138,3055
"777",0.25138,3057
"778",0.20808,3060
"779",0.20808,3062
"780",0.20808,3063
"781",0.20808,3064
"782",0.25138,3070
"783",0.25138,3071
"784",0.20808,3076
"785",0.39197,3077
"786",0.20808,3079
"787",0.25138,3082
"788",0.25138,3084
"789",0.25138,3086
"790",0.20808,3087
"791",0.39197,3101
"792",0.39197,3102
"793",0.20808,3103
"794",0.39197,3104
"795",0.39197,3106
"796",0.39197,3109
"797",0.20808,3110
"798",0.39197,3215
"799",0.39197,3216
"800",0.39197,3217
"801",0.39197,3218
"802",0.39197,3220
"803",0.39197,3221
"804",0.39197,3222
"805",0.04023,3223
"806",0.39197,3224
"807",0.39197,3225
"808",0.39197,3226
"809",0.39197,3227
"810",0.39197,3229
"811",0.39197,3230
"812",0.39197,3231
"813",0.39197,3233
"814",0.39197,3234
"815",0.39197,3235
"816",0.39197,3237
"817",0.04023,3238
"818",0.39197,3240
"819",0.39197,3241
"820",0.39197,3242
"821",0.39197,3243
"822",0.25138,3244
"823",0.39197,3245
"824",0.39197,3246
"825",0.39197,3249
"826",0.04023,3251
"827",0.39197,3253
"828",0.39197,3254
"829",0.39197,3255
"830",0.39197,3256
"831",0.39197,3257
"832",0.39197,3258
"833",0.39197,3259
"834",0.39197,3260
"835",0.39197,3261
"836",0.04023,3262
"837",0.39197,3263
"838",0.39197,3264
"839",0.04023,3266
"840",0.39197,3268
"841",0.39197,3269
"842",0.39197,3273
"843",0.39197,3275
"844",0.39197,3276
"845",0.39197,3278
"846",0.04023,3279
"847",0.01699,3280
"848",0.39197,3281
"849",0.04023,3282
"850",0.39197,3284
"851",0.04023,3285
"852",0.39197,3287
"853",0.39197,3290
"854",0.39197,3291
"855",0.04023,3293
"856",0.39197,3301
"857",0.39197,3303
"858",0.39197,3304
"859",0.39197,3307
"860",0.01699,3431
"861",0.25138,3440
"862",0.01699,3441
"863",0.25138,3442
"864",0.01699,3443
"865",0.25138,3444
"866",0.01699,3445
"867",0.01699,3446
"868",0.25138,3447
"869",0.01699,3448
"870",0.25138,3449
"871",0.25138,3450
"872",0.01699,3451
"873",0.25138,3452
"874",0.01699,3455
"875",0.01699,3456
"876",0.01699,3457
"877",0.25138,3458
"878",0.25138,3461
"879",0.01699,3462
"880",0.01699,3464
"881",0.01699,3465
"882",0.01699,3466
"883",0.01699,3467
"884",0.01699,3470
"885",0.04023,3561
"886",0.04023,3570
"887",0.04023,3574
"888",0.04023,3575
"889",0.04023,3576
"890",0.04023,3579
"891",0.04023,3580
"892",0.04023,3581
"893",0.04023,3582
"894",0.04023,3583
"895",0.04023,3584
"896",0.04023,3585
"897",0.04023,3586
"898",0.04023,3588
"899",0.04023,3590
"900",0.04023,3592
"901",0.04023,3593
"902",0.04023,3595
"903",0.04023,3597
"904",0.04023,3598
"905",0.01699,3601
"906",0.01699,3602
"907",0.01699,3603
"908",0.01699,3604
"909",0.01699,3605
"910",0.01699,3607
"911",0.01699,3608
"912",0.01699,3609
"913",0.04023,3740
"914",0.13334,3741
"915",0.13334,3743
"916",0.13334,3745
"917",0.13334,3746
"918",0.13334,3748
"919",0.13334,3750
"920",0.13334,3751
"921",0.01699,3752
"922",0.13334,3753
"923",0.13334,3754
"924",0.13334,3755
"925",0.04023,3765
"926",0.13334,3766
"927",0.04023,3768
"928",0.13334,3770
"929",0.04023,3771
"930",0.13334,3773
"931",0.04023,3774
"932",0.04023,3777
"933",0.04023,3779
"934",0.04023,3780
"935",0.13334,3781
